study_id,authors,year,title,participants,measures,key_behavioural_findings,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
103,Grande et al. (2006),2006,Visual selective attention in Parkinson's disease: Dissociation of exogenous and endogenous inhibition,"(a) 14 PwP (9 male), 63.8 (11.09). H&Y 2-3. (b) 14 HC (7 male), 60.3 (8.55).","Inhibition of return (exogenously evoked inhibition), Negative Priming Task (endogenously evoked inhibition). Also: Medication ON/OFF.","Dopamine medication did not seem to affect task performance for either IOR or NP. Similar IOR performance (involuntary, exogenously evoked inhibition) between PwP and HCs. PwP showed reduced inhibition on the NP task (voluntary, endogenously evoked inhibition) compared to HCs.",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
104,Gurvich et al. (2007) ,2007,Inhibitory control and spatial working memory in Parkinson's disease,(a) 13 PwP. (b) 13 HC.,"Oddball task (inhibitory control/response selection), Fixation-distractor task (inhibitory control/response suppression), Saccade-engagement-distractor task (inhibitory control /response suppression), Gap paradigm (disinhibition), Predictive paradigm (disinhibition). (All are eye movements tasks).",,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Hälbig et al. (2009),2009,Subthalamic deep brain stimulation and impulse control in Parkinson's disease,"(a) 16 PwP+DBS (12 male), 64 (10). UPDRS 17.97 (13.52), H&Y 2.23 (0.70), duration 12.3 years (4.4). (b) 37 PwP-DBS (26 male), 66 (11). UPDRS 16.31 (10.57), H&Y 2 (0.51), duration 6.5 years (4.3).",Barratt Impulsiveness Scale (impulsivity).,PwP+DBS patients had significantly higher BIS scores than PwP-DBS.,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Harrington et al (2018),2018,Altered Functional Interactions of Inhibition Regions in Cognitively Normal Parkinson's Disease,,,,yes,no,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Harris et al. (2015) ,2015,Novelty Seeking in Patients with Right-Versus Left-Onset Parkinson Disease,"(a) 19 right onset PwP (19 male), 70 (12.29). H&Y 2.53 (0.51). (b) 19 left onset PwP (18 male), 66.26 (10.64). H&Y 2.63 (0.60). (c) 44 HC (25 male), 58.86 (9.82).",Temperament and Character Inventory (personality traits).,Right onset PwP scored higher on novelty seeking (more impulsive) than left onset PwP. No differences between right and left onset PwP for harm avoidance or self-directedness.,yes,no,yes,no,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Henderson et al. (2011) ,2011,Inhibitory Control During Smooth Pursuit in Parkinson's Disease and Huntington's Disease,"(a) 16 PwP, 61.13 (10.31). UPDRS 14.50 (11.52). (b) 16 HC, 61.13 (10.19).",Saccadic smooth pursuit task (inhibitory control).,PwP made more erroneous saccadic errors towards the distractor stimuli than HCs.,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Henik et al. (1993) ,1993,Disinhibition of automatic word reading in Parkinson's disease,"(a) 8 late onset PwP (8 male), 69.5. H&Y 3.25, duration 10.6 years. (b) 8 older HCs (8 male), 70.6. (c) 12 early onset PwP (8 male), 46.5. H&Y 2, duration 8.9 years. (d) 13 younger HCs (8 male), 42.6.",Stroop (inhibition of cognitive processes).,"Interference effect (RTs): no differences. Facilitation effect (RTs): reduced facilitation in patients overall compared to HCs. Errors: PwP more errors than HC overall. Facilitatory effects similar in all groups. Interference effect larger in late onset (could be due to higher disease severity as evidenced by H&Y, or global cognitive impairment as evidenced by lower MMSE scores).",yes,no,yes,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Hiebert et al. (2014) ,2014,Dopaminergic therapy affects learning and impulsivity in Parkinson's disease,"(a) 35 PwP, 64.26 (1.36). UPDRS ON 13.91 (1.25), UPDRS OFF 16.25 (1.67), duration 6.36 years (0.83). (b) 30 HC, 64.66 (1.37).",Stimulus-response association learning,"PwP participants were slower to learn stimulus-response associations ON versus OFF meds. No significant differences between PwP and HC in the learning phase. “Stimulus-response association learning spared in PwP but impaired by meds”. No differences in accuracy between PwP and HC in the test phase. No significant differences in facilitation effect (associated with impulsivity) of congruent/incongruent trials in PwP and HC, or ON and OFF meds. No significant differences in interference effect of congruent/incongruent trials in PwP and HC, or ON and OFF meds.",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Housden et al. (2010) ,2010,Intact Reward Learning but Elevated Delay Discounting in Parkinson's Disease Patients With Impulsive-Compulsive Spectrum Behaviors,"(a) 18 PwP+ICB (11 male), 62.3 (7.6). UPDRS 20 (6.6), H&Y 2.5 (0.6), duration 13.9 (9). (b) 18 PwP-ICB (12 male), 67.7 (5.5). UPDRS 21.3 (10.4), H&Y 2.5 (0.7), duration 12.9 (8.3). (c) 20 HC (11 male), 62.3 (7.6).","Salience Attribution Test (value learning), Kirby delayed discounting questionnaire (impulsiveness/tolerance to delay).","PwP+ICB patients showed higher k than both PwP-ICB and HCs. There were no differences between PwP-ICB and HCs. PwP-ICBs demonstrated impaired stimulus-reward learning compared to PwP+ICBs and HCs, who did not differ. There is a double dissociation between reward learning and delay discounting in PwP+ICBs/PwP-ICBs.",yes,yes,no,no,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Houvenaghel et al. (2016) ,2016,Influence of promised rewards on conflict resolution in healthy participants and patients with Parkinson's disease,"(a) 36 PwP (18 male), 56.6 (9.2). UPDRS 8 (5.8), H&Y 0.9 (0.7). (b) 36 HC (18 male), 59.4 (6.3).",Rewarded Simon task (impulsive action selection/selective inhibition).,"Overall (non-rewarded) RT congruency effect was higher for PwP than HC, but accuracy congruency effect equal. Promised reward increased the congruency effect in HC, but not PwP. Promised rewards had no effect on impulsive action selection in PwP patients or HCs. PwP patients had greater difficulty inhibiting inappropriate responses compared to HC. Selective inhibition in PwP patients was modulated by promised reward.",yes,no,no,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Hsieh et al. (2008) ,2008,Cognitive and motor components of response speed in the Stroop test in Parkinson's disease patients,"(a) 27 PwP (17 male), 63.3 (10.49). H&Y 1-3, duration 3.34 years (2.33). (b) 27 HC (14 male), 63.48 (9.15).",Stroop task (response inhibition).,PwP patients showed reduced response inhibition compared to HCs.,yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Huang et al. (2015),2015,Different effects of dopaminergic medication on perceptual decision-making in Parkinson's disease as a function of task difficulty and speed-accuracy instructions,"(a) 13 PwP (8 male), 61.62 (13.96). UPDRS ON 17.62 (5.20), UPDRS OFF 34 (11.74), duration 7.27 years (0.64). (b) 14 HC (8 male), 66.79 (10.46).",Moving Dots Task (impulsive decision-making). Also: medication ON/OFF.,"Higher difficulty paradigm, RTs and errors: No group or medication differences for RT on correct trials, but higher error rate and longer RTs on errors for PwP ON compared to HCs. Higher difficulty paradigm, drift diffusion: Drift rate was lower for PwP compared to HC both when ON or OFF medication. Drift rates OFF medication were higher compared to drift rates ON medication. No differences for boundary separation (response threshold) or non-decision time between PwP or HCs nor when ON or OFF medication. Speed or accuracy emphasis, RTs and errors: PwP patients were slower  on correct trials than HCs, and PwP OFF medication made more errors and were slower on error trials than HCs. There were no effects of medication. Speed or accuracy emphasis, drift diffusion: PwP patients had lower drift rates than HCs but no effect of medication. Mean response thresholds were higher for PwP patients compared to HCs (no interaction effect with speed vs accuracy instructions), but no effect of medication. No effect of group on non-decision time but non-decision time was higher when OFF compared to ON medication.",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Irmen et al. (2017),2018,Sensorimotor subthalamic stimulation restores risk-reward trade-off in Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Irmen et al. (2018),2017,Subthalamic nucleus stimulation impairs emotional conflict adaptation in Parkinson's disease,,,,yes,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Isaias et al. (2008) ,2008,The relationship between impulsivity and impulse control disorders in Parkinson's disease,"(a) 14 PwP+ICB (7  male), 60 (9). UPDRS 16.7 (6), duration 9 years (5). (b) 36 PwP-ICB (24 male), 65 (9). UPDRS 18.8 (6.4), duration 8 years (5). (c) 100 HC (47 male), 61 (9).",Barratt Impulsiveness Scale (impulsivity).,PwP participants (both groups) had higher BIS scores than HCs (both groups). PwP+ICB had higher BIS scores than PwP-ICB.,yes,yes,no,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Jia et al. (2018),2018,Impairment in the intention formation and execution phases of prospective memory in Parkinson's disease,,,,yes,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Joti et al. (2007) ,2007,Impaired inhibitory oculomotor control in patients with Parkinson's disease,"(a) 10 PwP (10 male), 57.6 (8.66). H&Y 1.85 (0.78), duration 8.15 years (5.94). (b) 11 HC (7 male), 58 (4.75).",Saccadic Redirect Task (inhibitory control),Target switch reaction time (analogous to SSRT) was longer for PwP than HC = reduced inhibitory control in oculomotor stopping.,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kingstone et al. (2002),2002,Orienting attention in aging and Parkinson's disease: Distinguishing modes of control,"(a) 8 PwP, 60. (b) ~8 OC (information missing), 62. (c) ~8 YC (information missing).","Reflexive Covert Orienting (inhibition of return), Saccadic Volitional Overt Orienting (controlled prosaccade), Saccadic Reflexive Overt Orienting (automatic prosaccade), Antisaccade/Volitional and Reflexive Overt Orienting (suppression of automatic saccade, initiation of controlled saccade).","Reflexive covert (manual task with peripheral indicator): No main effect of group on manual RTs, but for all groups latencies were shorter when SOA increased and RT was longer for cued than uncued when SOA was longer (inhibition of return effect). No significant effects for accuracy data. Covert reflexive orienting (with regard to inhibition of return) equal across groups. Volitional overt (prosaccade with central indicator): YC faster than PwP and OC, but no differences between PwP and OC. PwP undershot the target more than YC and OC. Reflexive overt (prosaccade with peripheral indicator): PwP significantly faster than OC. Saccades were generally faster when fixation disappeared vs staying on screen. PwP and OC made more errors than YC. Antisaccade (combo of reflexive and volitional overt): YC faster than PwP and OC, but no differences between PwP and OC. No significant effect of group for accuracy data. PwP showed faster RTs in reflexive overt, and slower than YC (but not OC) in volitional overt, but this wasn’t reflected in antisaccade task (which is a combo of the two, and therefore each effect confounds the other).",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Kliegel et al. (2005),2005,Planning and realisation of complex intentions in patients with Parkinson's disease,"(a) 16 PwP OFF medication (11 male), 61.1 (6.9). Duration 4.81 years (3). (b) 16 HC (11 male), 62.6 (9.1).",Stroop Task (inhibition).,Higher RT interference effect for PwP than HC.,yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Kobayashi et al. (2018),2018,Dopaminergic influences on risk preferences of parkinson's disease patients,,,,yes,yes,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Koerts et al. (2013),2013,Neuropsychological and emotional correlates of personality traits in Parkinson's disease,"(a) 43 PwP (24 male), 63.6 (8.8). UPDRS 24.6 (8.8), H&Y 2.2 (0.6), duration 5.3 years (4.2). (b) 25 HC (11 male), 62.8 (11.5).","Temperament and Character Inventory (personality traits), Stroop Task (inhibition), Trail Making Test (cognitive flexibility), Odd Man Out (cognitive flexibility). ","PwP showed higher harm avoidance than healthy controls, but no difference on novelty seeking, reward dependence, or persistence. No differences on Stroop interference RT index or Trail Making Test B. PwP made more errors on Odd Man Out task.",yes,no,no,no,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Kohl et al. (2015) ,2015,In Parkinson's disease pallidal deep brain stimulation speeds up response initiation but has no effect on reactive inhibition,(a) 9 GPi-DBS PwP. (b) 12 HC.,Conditional Stop Signal task (reactive inhibition and conflict resolution). Also: Globus pallidus interna DBS ON/OFF.,"No difference in SSRT between PwP and HC, nor ON or OFF GPi-DBS. No difference in conflict induced slowing between PwP and HC, nor ON or OFF GPi-DB. Response delay effect worse in PwP than HC only when GPi-DBS was ON.",yes,no,no,yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Kojovic et al. (2016) ,2016,In Parkinson's disease STN stimulation enhances responsiveness of movement initiation speed to high reward value,"(a) 10 PwP (9 male), 58 (3.3). (b) 11 HC, 57 (4.6).",Rewarded Reaction Time. Also: STN-DBS ON/OFF.,,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Kübler et al (2017),2017,Cognitive performance correlates with the degree of dopaminergic degeneration in the associative part of the striatum in non-demented Parkinson's patients,,,,no,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Laurent et al (2018),2018,Motivational Sensitivities Linked to Impulsive Motor Errors in Parkinson's Disease,,,,yes,no,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Leroi et al. (2013) ,2013,Dopaminergic influences on executive function and impulsive behaviour in impulse control disorders in Parkinson's disease,"(a) 35 PwP+ICB (27 male), 58.91 (9.04). UPDRS 26.85 (9.97), H&Y 2.21 (0.71), duration 96.46 months (52.25). (b) 55 PwP-ICB (39 male), 62.54 (9.17). UPDRS 28.93 (13.37), H&Y 2.40 (0.66), duration 97.56 months (72.44). (c) 20 HC (11 male), 57.95 (13.55).","Stop Signal task (response inhibition), Delay Discounting task (delay discounting), Barratt Impulsiveness Scale (BIS). Also: catechol-O-methyl transferase genotyping, medication ON/OFF.","No differences in response inhibition between PwP+ICB, PwP-ICB, and HC (no SSRT examined) in the ON state based on commission errors (no SSD was used so no SSRT). Higher delay discounting rate (more impulsive) for PwP+ICB group vs PwP-ICB group, which didn't differ in the ON vs OFF states. PwP more impulsive than HC generally. Higher BIS scores (more impulsive) for PwP+ICB group than PwP-ICB group and HC group. PwP group as a whole were more impulsive ON medication compared to HC. No differences in impulsivity for COMT groups.",yes,yes,yes,yes,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Machado et al. (2009),2009,Distractibility with advancing age and Parkinson's disease,"(a) 10 PwP (6 male), 74 (4). H&Y 2 (1). (b) 20 HC (11 male), 72 (4).",Distractor Inteference Task (eye tracking).,PwP were slower than HC. No SOA effects between groups. Positive compatibility effect greater for PwP than HC (more hyper-distractibility). Compatibility effects did not significantly decrease as SOA increased in people with PwP – suggests impairment of distractor inhibition (this was not directly compared with HCs though).,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Manza et al. (2018),2018,Levodopa improves response inhibition and enhances striatal activation in early-stage Parkinson's disease,,,,yes,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Mapelli et al. (2014),2014,Decision and dopaminergic system: An ERPs study of Iowa gambling task in Parkinson's disease,"(a) 15 PwP (10 male), 61.4 (9.6). UPDRS 8.9 (4), duration 4.8 years (3.4). (b) 15 HC (11 male), 60.7 (9.8).",Iowa Gambling Task (decision making). Also: EEG.,"PwP participants preferred disadvantageous decks whereas HC preferred advantageous decks overall. No correlation between total score on IGT and disease duration, age of onset, motor UPDRS score. PwP patients did not learn over time as well as the HC group to pick the advantageous decks. ERPs suggest abnormal feedback processing in PwP – did not show differences in ERPs for positive or negative feedback.",yes,no,no,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Marí -Beffa et al. (2005),2005,Lack of inhibition in Parkinson's disease: evidence from a lexical decision task,"(a) Semantic priming: 10 PwP (5 male), 65.4 (9.0). (b) Semantic priming: 17 HC (7 male), 69.1 (7.9). (c) Repetition priming: 7 PwP (2 male), 64.6 (10.8). (d) Repetition priming: 17 HC (8 male), 66.8 (9.4).","Semantic Priming Task (activation and inhibition of words), Repetition Priming Task (priming and inhibition).","Semantic priming: No significant group effects for switch cost or facilitation effect. PwP group showed positive priming but HC group did not, suggests PwP are unable to inhibit irrelevant distractors. Repetition priming: HCs showed negative priming effect whereas PwP showed comparatively reduced negative priming which suggests difficulty inhibiting responses.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
133,Marín-Lahoz et al. (2018),2018,Parkinson's Disease: Impulsivity Does Not Cause Impulse Control Disorders but Boosts Their Severity,,,,no,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Martini, Ellis et al. (2018)",2018,Risky decision-making and affective features of impulse control disorders in Parkinson’s disease,,,,yes,yes,,,1,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Marzinzik et al. (2011),2015,Dysfunctional action control as a specific feature of Parkinson's disease,"(a) 16 PwP (11 male), 64.4 (6.6). UPDRS ON 19.5 (7.8), UPDRS OFF 29.5 (9.7). (b) 14 HC (8 male), 68.4 (4.5).",Cued Go/No-Go (habit formation). Also: levodopa ON/OFF,HC and PwP+OFF failed to inhibit responses in No-Go in deconditioning phase compared to PwP+ON. Failure for PwP+ON to learn in conditioning phase?,yes,no,no,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Marzinzik et al. (2015) ,2011,Modulation of Habit Formation by Levodopa in Parkinson's Disease,"(a) 11 mild motor impairment PwP (7 male), 70.1 (4.1). UPDRS 13.7 (4.2), H&Y 1.6 (0.6), duration 5.9 years (2.8). (b) 11 advanced motor impairment PwP (5 male), 74.3 (4.9). UPDRS 39 (6.8), H&Y 2.8 (0.6), duration 7.5 years (3.2). (c) 11 PwP with dementia (8 male), 76.2 (8.8). UPDRS 41.1 (3.8), H&Y 3.0 (0.6), duration 10.8 years (5.2). (d) 11 Alzheimer’s disease patients (3 male), 77.1 (8.3). (e) 11 HC (4 male), 72.4 (8.0).",Go/No-Go (action control).,PwP patients with dementia showed reduced inhibitory control (more commission errors) compared to the other groups. PwP patients with advanced motor impairment showed reduced inhibitory control (more commission errors) compared to HCs only in the task where switches were made between hands. PwP patients with advanced motor impairment or dementia showed more omission errors (over inhibition?) than HCs. Commission and omission errors were correlated with increased gait and postural instability problems. Total UPDRS score was correlated with commission errors.,yes,no,yes,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Matar et al. (2013) ,2013,Using virtual reality to explore the role of conflict resolution and environmental salience in Freezing of Gait in Parkinson's disease,"(a) 36 PwP+FOG, 66.2 (9.6). UPDRS 29.4 (12.6), H&Y 2.3 (0.9). (b) 37 PwP-FOG, 63.2 (8.8). UPDRS 21.03 (11.2), H&Y 1.6 (0.7). (c) 18 HC, 69.3 (7.6).",VR Stroop task (conflict resolution).,"Footstep latency longer on high conflict trials in PwP+FOG compared to PwP-FOG and HCs, but no group differences on  neutral or low conflict trials. Same true for trials with high visuospatial processing, therefore conflict resolution impairment could be due to increased processing requirement in PwP+FOG.",yes,no,yes,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Mathis et al. (2014),2014,Apathy in Parkinson's disease: an electrophysiological study,"(a) 10 PwP+apathy, 67.4. UPDRS ON 11.6, UPDRS OFF 28.8. (b) 15 PwP-apathy, 61.9. UPDRS ON 8.3, UPDRS OFF 23.9.",Stroop task (inhibitory control). Also: Dopaminergic medication ON/OFF.,No differences between PwP+apathy and PwP-apathy both ON and OFF medication. Stroop performance not correlated with apathy score ON or OFF medication.,no,no,yes,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,McDonell et al. (2018),2018,Taq1A polymorphism and medication effects on inhibitory action control in Parkinson disease,,,,no,no,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,McKinlay et al. (2009) ,2009,Assessing Cognitive Impairment in Parkinson's Disease: A Comparison of Two Tower Tasks,"(a) 40 PwP, 66.15 (6.65). (b) 40 HC, 66.58 (5.47).",Delis-Kaplan Colour-Word Interference Test/Stroop task (inhibition),"PwP showed reduced inhibition and reduced inhibition in the inhibition switching version. Inhibition and inhibition switching ability in PwP was related to CANTAB Tower of London performance, and inhibition ability in PwP was related to Delis-Kaplan Tower of Hanoi performance. This was not true for the HCs.",yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Merola et al. (2017),2017,Impulse control behaviors and subthalamic deep brain stimulation in Parkinson disease,,,,no,yes,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
